tag,tool,line,component,flux_1e17,fwhm_kms,ew_a,center_a,flux_unit
04592503068,gleam,OIII5007,total,675.1577758789062,473.4880060919216,28.051631927490234,5008.24,1e-17
04592503068,gleam,Ha6563,total,2618.4755859375,1859.826768449908,96.7044677734375,6564.6,1e-17
04592503068,gleam,NII6585,total,326.2779541015625,242.83814626891152,12.04996395111084,6585.27,1e-17
04592503068,gleam,SII6718,total,85.28923034667969,277.6223503612554,4.115224838256836,6718.29,1e-17
04592503068,gleam,SII6732,total,50.94953155517578,204.00777572056998,2.458326578140259,6732.67,1e-17
04592517882,pyqsofit,Ha6563,broad,2212.175597847291,3628.7244020846683,171.26617372376904,nan,1e-17
04592517882,pyqsofit,Hb4861,broad,518.2424934403122,2855.4463449868067,22.20399924893079,nan,1e-17
04592517882,pyqsofit,OIII5007,outflow,0.6052531346438396,nan,nan,4958.497906193027,1e-17
04592517882,pyqsofit,OIII5007,narrow,145.04930442302077,nan,nan,4996.939619799395,1e-17
04592517882,pyqsofit,OIII4959,outflow,7.549863161523146,nan,nan,4881.330235181025,1e-17
04592517882,pyqsofit,OIII4959,narrow,26.091726641048957,nan,nan,4919.1736914996345,1e-17
04592517882,pyqsofit,Ha6563,narrow,775.5909125178943,nan,nan,6557.865773871599,1e-17
04592517882,pyqsofit,NII6585,narrow,0.06356753018568218,nan,nan,6591.567694443716,1e-17
04592517882,pyqsofit,SII6718,narrow,0.43326026571986176,nan,nan,6724.703620327171,1e-17
04592517882,pyqsofit,SII6732,narrow,0.4341876269385164,nan,nan,6739.09734584935,1e-17
04592517882,badass,Ha6563,broad,85.50242214769787,nan,nan,nan,1e-17
04592517882,badass,Ha6563,narrow,382.77561571868137,nan,nan,nan,1e-17
04592517882,badass,Ha6563,outflow,1756.2245770181325,nan,nan,nan,1e-17
04592517882,badass,Hb4861,broad,0.0,nan,nan,nan,1e-17
04592517882,badass,Hb4861,narrow,106.11018631837214,nan,nan,nan,1e-17
04592517882,badass,Hb4861,outflow,310.8361593086526,nan,nan,nan,1e-17
04592517882,badass,OIII5007,broad,0.0,nan,nan,nan,1e-17
04592517882,badass,OIII5007,narrow,61.406243832811015,nan,nan,nan,1e-17
04592517882,badass,OIII5007,outflow,99.21590016805663,nan,nan,nan,1e-17
04592517882,badass,OIII4959,broad,156.11388922122956,nan,nan,nan,1e-17
04592517882,badass,OIII4959,narrow,0.0,nan,nan,nan,1e-17
04592517882,badass,OIII4959,outflow,156.11388922122956,nan,nan,nan,1e-17
04592517882,badass,OII3727,broad,0.0,nan,nan,nan,1e-17
04592517882,badass,OII3727,narrow,0.0,nan,nan,nan,1e-17
04592517882,fantasy_agn,OIII5007,broad,158.60496680065006,nan,nan,nan,1e-17
04592517882,fantasy_agn,OIII5007,narrow,2.001636120057798,nan,nan,nan,1e-17
04592517882,fantasy_agn,Hb4861,broad,666.2084123185584,nan,nan,nan,1e-17
04592517882,fantasy_agn,Hb4861,narrow,0.0,nan,nan,nan,1e-17
04592517882,fantasy_agn,Ha6563,broad,1320.508727113079,nan,nan,nan,1e-17
04592517882,fantasy_agn,Ha6563,narrow,445.61355403439995,nan,nan,nan,1e-17
04592517882,gelato,OIII5007,narrow,-81.30917599717257,130.0,nan,nan,1e-17
04592517882,gelato,OIII4959,narrow,-28.4582115990104,130.0,nan,nan,1e-17
04592517882,gelato,Ha6563,broad,-168.4455398626529,130.0,nan,nan,1e-17
04592517882,gelato,Hb4861,broad,12.523901128243006,130.0,nan,nan,1e-17
04592517882,gelato,NII6585,narrow,-166.13718291575498,130.0,nan,nan,1e-17
04592517882,gelato,SII6718,narrow,-1026.3927808778976,130.0,nan,nan,1e-17
04592517882,gelato,SII6732,narrow,0.33250355274538024,130.0,nan,nan,1e-17
04592517882,gelato,OII3727,narrow,-49.3255874067395,130.0,nan,nan,1e-17
04592517882,gleam,Hb4861,total,384.23779296875,1760.6279375256245,14.601120948791504,4862.68,1e-17
04592517882,gleam,OIII4959,total,-48.105201721191406,1096.5030491268503,-1.8754841089248657,4960.3,1e-17
04592517882,gleam,Ha6563,total,1569.3182373046875,1841.0805775058393,88.81307220458984,6564.6,1e-17
04592660180,pyqsofit,Ha6563,broad,5669.220813175121,3798.6302420636907,303.1244805329497,nan,1e-17
04592660180,pyqsofit,Hb4861,broad,2991.3838658078403,3541.0763262395844,125.71540041688272,nan,1e-17
04592660180,pyqsofit,OIII5007,outflow,144.3829347468906,nan,nan,4958.4071862676,1e-17
04592660180,pyqsofit,OIII5007,narrow,275.3748647466791,nan,nan,5006.3573664720725,1e-17
04592660180,pyqsofit,OIII4959,outflow,7.545769703574777,nan,nan,4881.2409271035995,1e-17
04592660180,pyqsofit,OIII4959,narrow,1.8022045250677003,nan,nan,4928.444872500477,1e-17
04592660180,pyqsofit,Ha6563,narrow,1071.4287041240566,nan,nan,6561.648863096726,1e-17
04592660180,pyqsofit,NII6585,narrow,5.633787063585526,nan,nan,6595.370225569147,1e-17
04592660180,pyqsofit,SII6718,narrow,23.407081032899136,nan,nan,6728.582954654139,1e-17
04592660180,pyqsofit,SII6732,narrow,23.45718214049956,nan,nan,6742.98498360152,1e-17
04592660180,badass,Ha6563,broad,1145.6023069827934,nan,nan,nan,1e-17
04592660180,badass,Ha6563,narrow,863.4407357871532,nan,nan,nan,1e-17
04592660180,badass,Ha6563,outflow,4624.633872600578,nan,nan,nan,1e-17
04592660180,badass,Hb4861,broad,612.2541549367643,nan,nan,nan,1e-17
04592660180,badass,Hb4861,narrow,148.22830380852974,nan,nan,nan,1e-17
04592660180,badass,Hb4861,outflow,1030.7177424033625,nan,nan,nan,1e-17
04592660180,badass,OIII5007,broad,0.008682857639156438,nan,nan,nan,1e-17
04592660180,badass,OIII5007,narrow,170.6652311172802,nan,nan,nan,1e-17
04592660180,badass,OIII5007,outflow,269.56417431630575,nan,nan,nan,1e-17
04592660180,badass,OIII4959,broad,640.1393951976115,nan,nan,nan,1e-17
04592660180,badass,OIII4959,narrow,0.0,nan,nan,nan,1e-17
04592660180,badass,OIII4959,outflow,640.1393951976115,nan,nan,nan,1e-17
04592660180,badass,OII3727,broad,0.0,nan,nan,nan,1e-17
04592660180,badass,OII3727,narrow,0.0191311160703993,nan,nan,nan,1e-17
04592660180,fantasy_agn,OIII5007,broad,256.7237848981466,nan,nan,nan,1e-17
04592660180,fantasy_agn,OIII5007,narrow,234.35520841754428,nan,nan,nan,1e-17
04592660180,fantasy_agn,Hb4861,broad,1431.828981642056,nan,nan,nan,1e-17
04592660180,fantasy_agn,Hb4861,narrow,0.0,nan,nan,nan,1e-17
04592660180,fantasy_agn,Ha6563,broad,4438.617890258419,nan,nan,nan,1e-17
04592660180,fantasy_agn,Ha6563,narrow,880.6546829140448,nan,nan,nan,1e-17
04592660180,gelato,OIII5007,narrow,-840.256313643563,130.00000000000014,nan,nan,1e-17
04592660180,gelato,OIII4959,narrow,-294.08970977524706,130.00000000000014,nan,nan,1e-17
04592660180,gelato,Ha6563,broad,-3324.1561753835067,129.99999999999935,nan,nan,1e-17
04592660180,gelato,Hb4861,broad,-449.638701362845,129.99999999999935,nan,nan,1e-17
04592660180,gelato,NII6585,narrow,2319.2251166336373,129.99999999999986,nan,nan,1e-17
04592660180,gelato,SII6718,narrow,-290.62328931022023,130.0000000000003,nan,nan,1e-17
